IdEstado;Estado;Escudo
1;New York;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Seal_of_New_York.svg/480px-Seal_of_New_York.svg.png
2;Texas;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Seal_of_Texas.svg/480px-Seal_of_Texas.svg.png
3;California;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Seal_of_California.svg/480px-Seal_of_California.svg.png
4;Illinois;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Seal_of_Illinois.svg/480px-Seal_of_Illinois.svg.png
5;Pennsylvania;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Seal_of_Pennsylvania.svg/480px-Seal_of_Pennsylvania.svg.png
6;Nevada;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_Nevada.svg/480px-Seal_of_Nevada.svg.png
7;Colorado;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_Colorado.svg/480px-Seal_of_Colorado.svg.png
8;Washington;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Seal_of_Washington.svg/480px-Seal_of_Washington.svg.png
9;Florida;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Seal_of_Florida.svg/480px-Seal_of_Florida.svg.png
10;Minnesota;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/State_Seal_of_Minnesota.svg/480px-State_Seal_of_Minnesota.svg.png
11;Montana;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Great_Seal_of_Montana.svg/477px-Great_Seal_of_Montana.svg.png
12;Tennessee;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Seal_of_Tennessee.svg/478px-Seal_of_Tennessee.svg.png
13;Nebraska;https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Seal_of_Nebraska.svg/475px-Seal_of_Nebraska.svg.png
14;Alabama;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Seal_of_Alabama.svg/480px-Seal_of_Alabama.svg.png
15;Maine;https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Seal_of_Maine.svg/480px-Seal_of_Maine.svg.png
16;Alaska;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Seal_of_the_State_of_Alaska.svg/480px-Seal_of_the_State_of_Alaska.svg.png
17;Hawaii;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Seal_of_the_State_of_Hawaii.svg/480px-Seal_of_the_State_of_Hawaii.svg.png
18;Wyoming;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Seal_of_Wyoming.svg/480px-Seal_of_Wyoming.svg.png
19;Virginia;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Seal_of_West_Virginia.svg/480px-Seal_of_West_Virginia.svg.png
20;Michigan;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Seal_of_Michigan.svg/480px-Seal_of_Michigan.svg.png
21;Missouri;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Seal_of_Missouri.svg/480px-Seal_of_Missouri.svg.png
22;Utah;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Seal_of_Utah.svg/480px-Seal_of_Utah.svg.png
23;Oregon;https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Seal_of_Oregon.svg/480px-Seal_of_Oregon.svg.png
24;Louisiana;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Seal_of_Louisiana.svg/480px-Seal_of_Louisiana.svg.png
25;Idaho;https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Seal_of_Idaho.svg/480px-Seal_of_Idaho.svg.png
26;Arizona;https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/State_Seal_of_Arizona.svg/477px-State_Seal_of_Arizona.svg.png
27;New Mexico;https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Seal_of_New_Mexico.svg/475px-Seal_of_New_Mexico.svg.png
28;Georgia;https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_Georgia.svg/480px-Seal_of_Georgia.svg.png
29;South Carolina;https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Seal_of_South_Carolina.svg/477px-Seal_of_South_Carolina.svg.png
30;North Carolina;https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Seal_of_North_Carolina.svg/480px-Seal_of_North_Carolina.svg.png
31;Ohio;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Seal_of_Ohio_%28Official%29.svg/480px-Seal_of_Ohio_%28Official%29.svg.png
32;Kentucky;https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Seal_of_Kentucky.svg/480px-Seal_of_Kentucky.svg.png
33;Mississippi;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Seal_of_Mississippi_%282014%E2%80%93present%29.svg/480px-Seal_of_Mississippi_%282014%E2%80%93present%29.svg.png
34;Arkansas;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Seal_of_Arkansas.svg/480px-Seal_of_Arkansas.svg.png
35;Oklahoma;https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Seal_of_Oklahoma.svg/477px-Seal_of_Oklahoma.svg.png
36;Kansas;https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Seal_of_Kansas.svg/480px-Seal_of_Kansas.svg.png
37;South Dakota;https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/State_Seal_of_South_Dakota.svg/480px-State_Seal_of_South_Dakota.svg.png
38;North Dakota;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Great_Seal_of_North_Dakota.svg/480px-Great_Seal_of_North_Dakota.svg.png
39;Iowa;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/State_seal_of_Iowa.svg/477px-State_seal_of_Iowa.svg.png
40;Wisconsin;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Seal_of_Wisconsin.svg/480px-Seal_of_Wisconsin.svg.png
41;Indiana;https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Seal_of_the_State_of_Indiana.svg/480px-Seal_of_the_State_of_Indiana.svg.png
42;West Virginia;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Seal_of_West_Virginia.svg/480px-Seal_of_West_Virginia.svg.png
43;Maryland;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_Maryland_%28reverse%29.svg/480px-Seal_of_Maryland_%28reverse%29.svg.png
